Returned,Order ID,Region,Ship Date,Order Date,_parsed_return,inferred_return_date,return_date_source
Yes,AG-2013-PO88653-41634,North Africa,2013-12-30,12/26/2013,,2014-01-06,inferred_from_ship
Yes,EG-2015-CM211538-42144,North Africa,2015-05-24,5/20/2015,,2015-05-31,inferred_from_ship
Yes,EG-2015-CM211538-42144,North Africa,2015-05-24,5/20/2015,,2015-05-31,inferred_from_ship
Yes,ES-2015-BN1151545-42304,Western Europe,2015-10-29,10/27/2015,,2015-11-05,inferred_from_ship
Yes,ES-2015-BN1151545-42304,Western Europe,2015-10-29,10/27/2015,,2015-11-05,inferred_from_ship
Yes,IN-2014-CL1189066-41999,Eastern Asia,2015-01-01,12/26/2014,,2015-01-08,inferred_from_ship
Yes,ID-2015-AA1064559-42332,Southeastern Asia,2015-11-27,11/24/2015,,2015-12-04,inferred_from_ship
Yes,ID-2015-AA1064559-42332,Southeastern Asia,2015-11-27,11/24/2015,,2015-12-04,inferred_from_ship
Yes,ID-2015-AA1064559-42332,Southeastern Asia,2015-11-27,11/24/2015,,2015-12-04,inferred_from_ship
Yes,ES-2014-JK1609064-41800,Southern Europe,2014-06-17,6/10/2014,,2014-06-24,inferred_from_ship
Yes,ES-2014-JK1609064-41800,Southern Europe,2014-06-17,6/10/2014,,2014-06-24,inferred_from_ship
Yes,IN-2015-CD1192059-42326,Southeastern Asia,2015-11-22,11/18/2015,,2015-11-29,inferred_from_ship
Yes,IN-2012-ES1408027-40941,Eastern Asia,2012-02-05,2/2/2012,,2012-02-12,inferred_from_ship
Yes,IN-2012-ES1408027-40941,Eastern Asia,2012-02-05,2/2/2012,,2012-02-12,inferred_from_ship
Yes,IN-2012-ES1408027-40941,Eastern Asia,2012-02-05,2/2/2012,,2012-02-12,inferred_from_ship
Yes,IN-2012-ES1408027-40941,Eastern Asia,2012-02-05,2/2/2012,,2012-02-12,inferred_from_ship
Yes,IN-2012-ES1408027-40941,Eastern Asia,2012-02-05,2/2/2012,,2012-02-12,inferred_from_ship
Yes,MX-2013-DO1364512-41461,Caribbean,2013-07-08,7/6/2013,,2013-07-15,inferred_from_ship
Yes,MX-2013-DO1364512-41461,Caribbean,2013-07-08,7/6/2013,,2013-07-15,inferred_from_ship
Yes,CG-2013-SC1030533-41538,Central Africa,2013-09-25,9/21/2013,,2013-10-02,inferred_from_ship
Yes,CG-2013-SC1030533-41538,Central Africa,2013-09-25,9/21/2013,,2013-10-02,inferred_from_ship
Yes,CG-2013-SC1030533-41538,Central Africa,2013-09-25,9/21/2013,,2013-10-02,inferred_from_ship
Yes,SI-2015-SM10005115-42252,Southern Europe,2015-09-09,9/5/2015,,2015-09-16,inferred_from_ship
Yes,SI-2015-SM10005115-42252,Southern Europe,2015-09-09,9/5/2015,,2015-09-16,inferred_from_ship
Yes,IN-2012-GT1471058-41158,Southern Asia,2012-09-07,9/6/2012,,2012-09-14,inferred_from_ship
Yes,ID-2013-SC2080059-41380,Southeastern Asia,2013-04-22,4/16/2013,,2013-04-29,inferred_from_ship
Yes,ID-2013-SC2080059-41380,Southeastern Asia,2013-04-22,4/16/2013,,2013-04-29,inferred_from_ship
Yes,ID-2013-SC2080059-41380,Southeastern Asia,2013-04-22,4/16/2013,,2013-04-29,inferred_from_ship
Yes,ID-2013-SC2080059-41380,Southeastern Asia,2013-04-22,4/16/2013,,2013-04-29,inferred_from_ship
Yes,ID-2013-SC2080059-41380,Southeastern Asia,2013-04-22,4/16/2013,,2013-04-29,inferred_from_ship
Yes,ID-2013-SC2080059-41380,Southeastern Asia,2013-04-22,4/16/2013,,2013-04-29,inferred_from_ship
Yes,MX-2013-HF1499518-41423,South America,2013-05-30,5/29/2013,,2013-06-06,inferred_from_ship
Yes,MX-2013-HF1499518-41423,South America,2013-05-30,5/29/2013,,2013-06-06,inferred_from_ship
Yes,ES-2012-AG1049545-41002,Western Europe,2012-04-05,4/3/2012,,2012-04-12,inferred_from_ship
Yes,IN-2015-SD2048527-42259,Eastern Asia,2015-09-14,9/12/2015,,2015-09-21,inferred_from_ship
Yes,IN-2015-SD2048527-42259,Eastern Asia,2015-09-14,9/12/2015,,2015-09-21,inferred_from_ship
Yes,IN-2015-SD2048527-42259,Eastern Asia,2015-09-14,9/12/2015,,2015-09-21,inferred_from_ship
Yes,IN-2015-SD2048527-42259,Eastern Asia,2015-09-14,9/12/2015,,2015-09-21,inferred_from_ship
Yes,CA-2012-PC18745140-41273,Eastern US,2013-01-03,12/30/2012,,2013-01-10,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,US-2015-DH13075140-42092,Western US,2015-04-01,3/29/2015,,2015-04-08,inferred_from_ship
Yes,ES-2015-LR1691545-42237,Western Europe,2015-08-23,8/21/2015,,2015-08-30,inferred_from_ship
Yes,SF-2015-CD1920117-42055,Southern Africa,2015-02-24,2/20/2015,,2015-03-03,inferred_from_ship
Yes,SF-2015-CD1920117-42055,Southern Africa,2015-02-24,2/20/2015,,2015-03-03,inferred_from_ship
Yes,SF-2015-CD1920117-42055,Southern Africa,2015-02-24,2/20/2015,,2015-03-03,inferred_from_ship
Yes,ES-2012-TT2146045-41014,Western Europe,2012-04-20,4/15/2012,,2012-04-27,inferred_from_ship
Yes,IN-2015-PS1904558-42272,Southern Asia,2015-09-27,9/25/2015,,2015-10-04,inferred_from_ship
Yes,IN-2015-PS1904558-42272,Southern Asia,2015-09-27,9/25/2015,,2015-10-04,inferred_from_ship
Yes,CA-2015-KL16555140-42313,Southern US,2015-11-06,11/5/2015,,2015-11-13,inferred_from_ship
Yes,CA-2015-KL16555140-42313,Southern US,2015-11-06,11/5/2015,,2015-11-13,inferred_from_ship
Yes,US-2013-PO1918082-41504,Central America,2013-08-23,8/18/2013,,2013-08-30,inferred_from_ship
Yes,ID-2015-JG15310130-42133,Southeastern Asia,2015-05-09,5/9/2015,,2015-05-16,inferred_from_ship
Yes,ID-2015-JG15310130-42133,Southeastern Asia,2015-05-09,5/9/2015,,2015-05-16,inferred_from_ship
Yes,ID-2015-JG15310130-42133,Southeastern Asia,2015-05-09,5/9/2015,,2015-05-16,inferred_from_ship
Yes,ES-2014-MG17680120-41867,Southern Europe,2014-08-20,8/16/2014,,2014-08-27,inferred_from_ship
Yes,ES-2014-MG17680120-41867,Southern Europe,2014-08-20,8/16/2014,,2014-08-27,inferred_from_ship
Yes,ES-2015-RA1994548-42249,Western Europe,2015-09-04,9/2/2015,,2015-09-11,inferred_from_ship
Yes,IT-2015-KD1634545-42238,Western Europe,2015-08-26,8/22/2015,,2015-09-02,inferred_from_ship
Yes,IT-2015-KD1634545-42238,Western Europe,2015-08-26,8/22/2015,,2015-09-02,inferred_from_ship
Yes,IT-2015-KD1634545-42238,Western Europe,2015-08-26,8/22/2015,,2015-09-02,inferred_from_ship
Yes,CA-2012-DP13165140-41244,Eastern US,2012-12-03,12/1/2012,,2012-12-10,inferred_from_ship
Yes,CA-2012-DP13165140-41244,Eastern US,2012-12-03,12/1/2012,,2012-12-10,inferred_from_ship
Yes,CA-2012-DP13165140-41244,Eastern US,2012-12-03,12/1/2012,,2012-12-10,inferred_from_ship
Yes,CA-2014-EH13765140-41997,Western US,2014-12-31,12/24/2014,,2015-01-07,inferred_from_ship
Yes,CA-2014-EH13765140-41997,Western US,2014-12-31,12/24/2014,,2015-01-07,inferred_from_ship
Yes,CA-2014-EH13765140-41997,Western US,2014-12-31,12/24/2014,,2015-01-07,inferred_from_ship
Yes,CA-2014-EH13765140-41997,Western US,2014-12-31,12/24/2014,,2015-01-07,inferred_from_ship
Yes,CA-2014-EH13765140-41997,Western US,2014-12-31,12/24/2014,,2015-01-07,inferred_from_ship
Yes,CA-2014-EH13765140-41997,Western US,2014-12-31,12/24/2014,,2015-01-07,inferred_from_ship
