order_id,order_date,ship_date,ship_mode,order_priority,market,region,customer_id
ES-2012-DB1306048-41171,2012-09-19,2012-09-21,Second Class,Critical,Europe,Western Europe,DB-1306048
IN-2014-RF197357-41709,2014-03-11,2014-03-15,Standard Class,High,Asia Pacific,Oceania,RF-197357
ES-2013-JH1582048-41306,2013-02-01,2013-02-04,First Class,High,Europe,Western Europe,JH-1582048
MX-2015-DM1295551-42103,2015-04-09,2015-04-13,Standard Class,High,LATAM,Central America,DM-1295551
CA-2014-AB10060140-41881,2014-08-30,2014-09-04,Standard Class,Medium,USCA,Eastern US,AB-100601406
MX-2015-BE1133582-42082,2015-03-19,2015-03-21,First Class,High,LATAM,Central America,BE-1133582
IN-2014-SO2033527-41914,2014-10-02,2014-10-04,First Class,High,Asia Pacific,Eastern Asia,SO-2033527
ES-2014-DK12835120-41651,2014-01-12,2014-01-15,First Class,Medium,Europe,Southern Europe,DK-12835120
SA-2015-LC7050110-42236,2015-08-20,2015-08-25,Standard Class,Medium,Asia Pacific,Western Asia,LC-7050110
IN-2015-CG125207-42077,2015-03-14,2015-03-18,Standard Class,High,Asia Pacific,Oceania,CG-125207
CA-2013-AB10060140-41535,2013-09-18,2013-09-24,Standard Class,Medium,USCA,Western US,AB-100601404
ID-2015-HG1502559-42194,2015-07-09,2015-07-13,Standard Class,High,Asia Pacific,Southeastern Asia,HG-1502559
ID-2014-AD1018059-41801,2014-06-11,2014-06-15,Standard Class,High,Asia Pacific,Southeastern Asia,AD-1018059
ES-2012-BP11155139-41130,2012-08-09,2012-08-16,Standard Class,Medium,Europe,Northern Europe,BP-11155139
ID-2015-AA10480130-42080,2015-03-17,2015-03-21,Standard Class,High,Asia Pacific,Southeastern Asia,AA-10480130
ID-2014-RL196157-41641,2014-01-02,2014-01-03,First Class,Medium,Asia Pacific,Oceania,RL-196157
ID-2013-SW2024559-41557,2013-10-10,2013-10-11,First Class,High,Asia Pacific,Southeastern Asia,SW-2024559
IN-2012-BW1111027-41076,2012-06-16,2012-06-18,First Class,High,Asia Pacific,Eastern Asia,BW-1111027
ES-2015-YC21895139-42097,2015-04-03,2015-04-05,First Class,High,Europe,Northern Europe,YC-21895139
MX-2012-JM1558082-41045,2012-05-16,2012-05-19,Second Class,High,LATAM,Central America,JM-1558082
BO-2015-MZ733513-42046,2015-02-11,2015-02-15,Second Class,High,Europe,Eastern Europe,MZ-733513
ES-2014-JF15295120-41924,2014-10-12,2014-10-12,Same Day,Critical,Europe,Southern Europe,JF-15295120
CA-2015-AB10060140-42264,2015-09-17,2015-09-22,Standard Class,High,USCA,Eastern US,AB-100601406
UP-2015-DJ3510137-42202,2015-07-17,2015-07-19,Second Class,Critical,Europe,Eastern Europe,DJ-3510137
ES-2015-MF1825045-42330,2015-11-22,2015-11-28,Standard Class,Low,Europe,Western Europe,MF-1825045
IT-2012-TC2129545-41058,2012-05-29,2012-06-01,First Class,Critical,Europe,Western Europe,TC-2129545
IN-2015-CP1234058-42202,2015-07-17,2015-07-20,First Class,Medium,Asia Pacific,Southern Asia,CP-1234058
ES-2015-EH1412545-42245,2015-08-29,2015-09-03,Standard Class,Medium,Europe,Western Europe,EH-1412545
IN-2013-NC183407-41634,2013-12-26,2013-12-26,Same Day,Critical,Asia Pacific,Oceania,NC-183407
ID-2014-JS1603059-41760,2014-05-01,2014-05-04,Second Class,Critical,Asia Pacific,Southeastern Asia,JS-1603059
ES-2012-AM10360139-41136,2012-08-15,2012-08-20,Standard Class,Medium,Europe,Northern Europe,AM-10360139
IN-2015-JF1519021-42341,2015-12-03,2015-12-07,Standard Class,High,Asia Pacific,Southeastern Asia,JF-1519021
IN-2014-AB100157-41815,2014-06-25,2014-06-29,Standard Class,High,Asia Pacific,Oceania,AB-100157
ES-2014-JG15160139-41660,2014-01-21,2014-01-24,Second Class,Medium,Europe,Northern Europe,JG-15160139
CA-2015-AH10075140-42301,2015-10-24,2015-10-25,First Class,Critical,USCA,Eastern US,AH-100751406
IN-2015-AG1033059-42197,2015-07-12,2015-07-14,Second Class,Critical,Asia Pacific,Southeastern Asia,AG-1033059
ES-2015-NF1847548-42248,2015-09-01,2015-09-01,Same Day,Critical,Europe,Western Europe,NF-1847548
IN-2012-DR129407-41066,2012-06-06,2012-06-10,Second Class,Medium,Asia Pacific,Oceania,DR-129407
ES-2012-NB1865548-41194,2012-10-12,2012-10-12,Same Day,Critical,Europe,Western Europe,NB-1865548
IN-2014-NM1844527-41800,2014-06-10,2014-06-10,Same Day,Critical,Asia Pacific,Eastern Asia,NM-1844527
IN-2015-TA213857-42351,2015-12-13,2015-12-17,Standard Class,Medium,Asia Pacific,Oceania,TA-213857
CA-2014-AH10075140-41898,2014-09-16,2014-09-21,Standard Class,Medium,USCA,Eastern US,AH-100751406
ID-2015-SC20380102-42165,2015-06-10,2015-06-11,First Class,High,Asia Pacific,Southeastern Asia,SC-20380102
SF-2012-PA9060117-40954,2012-02-15,2012-02-16,First Class,Critical,Africa,Southern Africa,PA-9060117
ES-2014-RB19570120-41971,2014-11-28,2014-12-04,Standard Class,Low,Europe,Southern Europe,RB-19570120
CA-2014-AH10075140-41817,2014-06-27,2014-06-27,Same Day,Critical,USCA,Western US,AH-100751404
CA-2015-AH10075140-42110,2015-04-16,2015-04-19,First Class,Medium,USCA,Western US,AH-100751404
US-2012-LH1675036-41129,2012-08-08,2012-08-08,Same Day,High,LATAM,Caribbean,LH-1675036
CA-2014-AH10075140-41991,2014-12-18,2014-12-22,Standard Class,Medium,USCA,Central US,AH-100751402
IN-2013-KB1658527-41488,2013-08-02,2013-08-04,First Class,High,Asia Pacific,Eastern Asia,KB-1658527
CA-2015-AH1007523-42101,2015-04-07,2015-04-12,Standard Class,High,USCA,Canada,AH-1007523
IR-2014-MZ751560-41853,2014-08-02,2014-08-02,Same Day,Critical,Asia Pacific,Southern Asia,MZ-751560
IN-2015-DM1334558-42146,2015-05-22,2015-05-25,Second Class,Critical,Asia Pacific,Southern Asia,DM-1334558
ID-2012-CA1196566-40949,2012-02-10,2012-02-15,Standard Class,Medium,Asia Pacific,Eastern Asia,CA-1196566
ES-2014-SC20305120-41909,2014-09-27,2014-09-27,Same Day,Critical,Europe,Southern Europe,SC-20305120
IN-2015-MH1811558-42157,2015-06-02,2015-06-04,First Class,Critical,Asia Pacific,Southern Asia,MH-1811558
IN-2014-KS163007-41912,2014-09-30,2014-10-03,First Class,Critical,Asia Pacific,Oceania,KS-163007
IN-2012-BG1174078-41108,2012-07-18,2012-07-19,First Class,High,Asia Pacific,Southeastern Asia,BG-1174078
RS-2015-CR2625108-42230,2015-08-14,2015-08-16,Second Class,Medium,Europe,Eastern Europe,CR-2625108
IN-2015-DK1309027-42308,2015-10-31,2015-11-03,First Class,High,Asia Pacific,Eastern Asia,DK-1309027
IN-2014-JL1583527-41845,2014-07-25,2014-07-30,Standard Class,Medium,Asia Pacific,Eastern Asia,JL-1583527
IN-2015-AP1072058-42284,2015-10-07,2015-10-11,Standard Class,High,Asia Pacific,Southern Asia,AP-1072058
IN-2015-CR1282058-42294,2015-10-17,2015-10-21,Standard Class,High,Asia Pacific,Southern Asia,CR-1282058
IN-2014-BF110807-41976,2014-12-03,2014-12-06,Second Class,Critical,Asia Pacific,Oceania,BF-110807
IN-2015-JM15265102-42316,2015-11-08,2015-11-10,First Class,High,Asia Pacific,Southeastern Asia,JM-15265102
IT-2012-TW2102545-41172,2012-09-20,2012-09-22,Second Class,Critical,Europe,Western Europe,TW-2102545
IT-2012-RB1933045-41080,2012-06-20,2012-06-23,First Class,High,Europe,Western Europe,RB-1933045
CA-2015-AH10075140-42273,2015-09-26,2015-09-29,First Class,Medium,USCA,Eastern US,AH-100751406
CA-2015-AH10075140-42144,2015-05-20,2015-05-25,Second Class,Medium,USCA,Southern US,AH-100751408
SF-2015-AB10060117-42334,2015-11-26,2015-11-29,Second Class,Critical,Africa,Southern Africa,AB-10060117
EG-2013-JR567038-41363,2013-03-30,2013-04-01,First Class,Critical,Africa,North Africa,JR-567038
MX-2012-MD1735028-41222,2012-11-09,2012-11-14,Second Class,Medium,LATAM,South America,MD-1735028
ES-2013-EB13840139-41487,2013-08-01,2013-08-06,Second Class,Medium,Europe,Northern Europe,EB-13840139
AJ-2014-JL58359-41662,2014-01-23,2014-01-27,Standard Class,High,Asia Pacific,Western Asia,JL-58359
IN-2012-EP1391559-41049,2012-05-20,2012-05-24,Second Class,High,Asia Pacific,Southeastern Asia,EP-1391559
ES-2015-MS17770139-42275,2015-09-28,2015-10-01,First Class,High,Europe,Northern Europe,MS-17770139
IT-2012-CM1265545-41218,2012-11-05,2012-11-07,First Class,Critical,Europe,Western Europe,CM-1265545
LH-2015-JC610575-42032,2015-01-28,2015-01-30,Second Class,High,Europe,Northern Europe,JC-610575
IN-2015-GB145307-42260,2015-09-13,2015-09-19,Standard Class,Medium,Asia Pacific,Oceania,GB-145307
CA-2015-AH10075140-42335,2015-11-27,2015-12-01,Standard Class,Medium,USCA,Southern US,AH-100751408
US-2012-JH161805-41264,2012-12-21,2012-12-23,First Class,High,LATAM,South America,JH-161805
EG-2014-MT807038-41675,2014-02-05,2014-02-07,Second Class,Critical,Africa,North Africa,MT-807038
IN-2012-AB1010558-41270,2012-12-27,2012-12-28,First Class,Critical,Asia Pacific,Southern Asia,AB-1010558
LT-2012-CV280572-41025,2012-04-26,2012-04-29,First Class,High,Africa,Southern Africa,CV-280572
IN-2012-NH1861092-41187,2012-10-05,2012-10-10,Standard Class,High,Asia Pacific,Oceania,NH-1861092
ID-2014-HJ1487527-41875,2014-08-24,2014-08-26,Second Class,Critical,Asia Pacific,Eastern Asia,HJ-1487527
MX-2014-JL1517518-41903,2014-09-21,2014-09-24,Second Class,Critical,LATAM,South America,JL-1517518
MX-2015-MY1829593-42355,2015-12-17,2015-12-19,First Class,Critical,LATAM,Central America,MY-1829593
CA-2012-AH10075140-41228,2012-11-15,2012-11-21,Standard Class,Medium,USCA,Western US,AH-100751404
CA-2013-AH10075140-41629,2013-12-21,2013-12-23,Second Class,High,USCA,Eastern US,AH-100751406
MX-2015-KC1654093-42158,2015-06-03,2015-06-07,Standard Class,High,LATAM,Central America,KC-1654093
MX-2015-CS1246093-42259,2015-09-12,2015-09-14,First Class,Critical,LATAM,Central America,CS-1246093
IN-2015-HA1492027-42111,2015-04-17,2015-04-17,Same Day,Critical,Asia Pacific,Eastern Asia,HA-1492027
ES-2013-MT1781545-41599,2013-11-21,2013-11-24,Second Class,Critical,Europe,Western Europe,MT-1781545
ES-2015-FW1439545-42069,2015-03-06,2015-03-08,First Class,Critical,Europe,Western Europe,FW-1439545
ES-2013-BH1171048-41478,2013-07-23,2013-07-28,Standard Class,High,Europe,Western Europe,BH-1171048
ID-2015-DK1289559-42315,2015-11-07,2015-11-09,First Class,High,Asia Pacific,Southeastern Asia,DK-1289559
MX-2015-KD1627018-42330,2015-11-22,2015-11-24,First Class,Critical,LATAM,South America,KD-1627018
ES-2012-SC208458-41070,2012-06-10,2012-06-13,First Class,High,Europe,Western Europe,SC-208458
MX-2013-CY1274582-41531,2013-09-14,2013-09-19,Standard Class,High,LATAM,Central America,CY-1274582
IN-2012-HL150407-41237,2012-11-24,2012-11-24,Same Day,Critical,Asia Pacific,Oceania,HL-150407
IN-2013-CT1199566-41496,2013-08-10,2013-08-12,First Class,High,Asia Pacific,Eastern Asia,CT-1199566
ES-2014-CC12370139-41718,2014-03-20,2014-03-23,Second Class,High,Europe,Northern Europe,CC-12370139
LT-2014-GR456072-42003,2014-12-30,2015-01-04,Standard Class,Medium,Africa,Southern Africa,GR-456072
IN-2013-TT2107058-41551,2013-10-04,2013-10-09,Standard Class,High,Asia Pacific,Southern Asia,TT-2107058
IT-2013-PO19195120-41492,2013-08-06,2013-08-07,First Class,Critical,Europe,Southern Europe,PO-19195120
IN-2013-ED13885144-41549,2013-10-02,2013-10-02,Same Day,High,Asia Pacific,Southeastern Asia,ED-13885144
IN-2015-AP1091559-42089,2015-03-26,2015-03-29,First Class,Critical,Asia Pacific,Southeastern Asia,AP-1091559
MX-2015-TM2149031-42329,2015-11-21,2015-11-21,Same Day,High,LATAM,Caribbean,TM-2149031
IT-2012-AW1084091-41242,2012-11-29,2012-11-30,First Class,Critical,Europe,Western Europe,AW-1084091
RO-2013-SG10605107-41614,2013-12-06,2013-12-06,Same Day,High,Europe,Eastern Europe,SG-10605107
MX-2014-BM1178582-41976,2014-12-03,2014-12-04,First Class,High,LATAM,Central America,BM-1178582
MX-2013-FH1436582-41628,2013-12-20,2013-12-24,Standard Class,High,LATAM,Central America,FH-1436582
MX-2013-DK1337582-41530,2013-09-13,2013-09-15,Second Class,Medium,LATAM,Central America,DK-1337582
CA-2015-AS10090140-42264,2015-09-17,2015-09-19,First Class,Critical,USCA,Eastern US,AS-100901406
