order_id,product_id,row_id,quantity,sales,discount,profit,shipping_cost
CA-2012-AH10030140-41273,TEC-AC-6340,40100,3,34.77,0.0,11.47,8.22
ES-2015-PO18865139-42018,TEC-CO-3598,15380,13,4141.02,0.0,1697.67,668.96
IN-2012-DL128657-40918,TEC-PH-5356,28046,5,2875.1,0.1,511.1,665.27
ID-2014-JB1600059-41873,TEC-PH-5268,21316,6,3200.6,0.17,-77.2,660.87
IN-2015-BF1100558-42319,TEC-PH-5269,29272,7,4518.78,0.0,632.52,658.69
IN-2015-VG2180558-42273,FUR-BO-5951,25795,13,5667.87,0.0,2097.03,658.35
ES-2013-GT14710139-41621,TEC-PH-5267,16681,9,5785.02,0.0,404.73,656.73
IT-2012-ZC2191048-41174,OFF-AP-3874,15953,7,3018.62,0.2,377.24,655.91
CA-2014-AH10030140-41719,FUR-FU-4072,34608,7,86.45,0.0,38.04,5.73
IT-2014-EB1384045-41706,FUR-CH-5441,13847,5,2092.5,0.1,720.75,652.98
IN-2015-AP1091527-42244,FUR-CH-5380,24341,6,2761.2,0.0,110.34,644.75
IN-2015-SW2027558-42125,TEC-MA-5007,28701,7,2174.13,0.0,500.01,637.86
MX-2015-JH15820141-42356,FUR-CH-4531,6550,11,3473.14,0.0,868.12,634.529
US-2012-AH10030140-41206,OFF-BI-4372,37425,4,49.41,0.2,18.53,2.84
IR-2015-TG1164060-42265,TEC-CO-3678,48360,8,2108.64,0.0,527.04,630.97
CA-2012-AH10030140-41273,OFF-LA-3231,40101,3,18.9,0.0,8.69,1.3
IN-2012-PB19210127-41259,FUR-BO-5762,30190,5,2197.5,0.0,153.75,627.27
MZ-2014-DG330087-41991,TEC-PH-5269,42336,4,2582.16,0.0,593.88,627.17
IN-2013-SG2047058-41424,TEC-CO-4590,29047,4,1526.52,0.0,732.72,625.77
CA-2012-AH10030140-41020,OFF-BI-2937,38461,3,9.91,0.2,3.35,1.2
IN-2013-GP1474058-41419,FUR-TA-3766,29601,2,1745.34,0.0,226.86,616.27
IN-2015-MW182207-42221,OFF-AP-3577,23499,9,4191.51,0.1,1164.27,614.34
CA-2012-AH10030140-41041,OFF-PA-4014,36652,2,8.0,0.0,3.84,1.15
IN-2015-CS1246011-42074,FUR-BO-5760,26634,7,3063.27,0.0,581.91,609.24
CA-2015-AH10030140-42357,OFF-AR-3276,34496,7,18.7,0.2,2.34,1.13
ES-2015-MS1798048-42227,TEC-PH-5839,10522,7,4473.0,0.0,313.11,604.4
IT-2014-KC1667548-41882,TEC-PH-3130,10549,9,1502.01,0.0,225.18,600.21
IN-2015-DB1340527-42022,FUR-CH-5774,25314,11,5049.0,0.0,656.37,595.5
CA-2015-AS10045140-42007,TEC-MA-3788,32637,2,695.7,0.5,-27.83,160.19
IT-2015-DK13090120-42345,FUR-BO-5760,16653,5,2188.05,0.0,1050.15,593.91
IN-2015-CS1184558-42354,FUR-TA-3779,28932,4,1920.36,0.0,652.92,592.77
MX-2015-EM1420082-42328,TEC-PH-5839,8029,4,1704.0,0.0,119.28,592.726
UP-2012-DW3480137-41221,FUR-TA-3771,50411,4,1858.68,0.0,130.08,590.56
IN-2014-AS1022527-41797,FUR-CH-4530,21191,7,3298.26,0.0,1055.25,589.36
MX-2012-ST2053093-41234,OFF-AP-4497,4960,13,2443.48,0.0,121.94,589.293
CG-2014-BW106533-41727,FUR-CH-4530,49085,8,3808.8,0.0,1523.52,588.13
IN-2015-LA1678059-42242,FUR-TA-3422,21209,7,3427.15,0.47,-452.81,586.57
ES-2013-AB10150139-41537,TEC-PH-5355,12161,6,3441.69,0.1,38.07,585.25
IN-2015-JH158207-42140,TEC-PH-3147,25438,5,2863.35,0.1,858.9,581.88
CA-2015-AS10045140-42218,TEC-MA-3329,33130,3,1439.98,0.4,-264.0,103.62
ES-2014-BE1141048-41967,TEC-CO-3599,16988,10,1487.4,0.0,728.7,580.98
IN-2012-SZ2003527-41221,TEC-CO-6010,24443,9,3200.04,0.0,1183.95,576.71
IN-2012-RM1937558-41209,FUR-CH-5380,30199,5,2301.0,0.0,91.95,573.27
ES-2015-HG1484545-42327,FUR-CH-4654,13879,14,5729.35,0.1,63.55,572.95
MO-2015-DP310586-42305,TEC-CO-3710,50788,14,5301.24,0.0,2597.28,568.45
CA-2014-AS10045140-41908,FUR-BO-3176,40834,2,477.67,0.15,84.29,43.01
US-2015-AS10045140-42252,OFF-BI-3324,40425,7,88.07,0.7,-58.72,23.88
ES-2014-JB1600048-41668,TEC-PH-5268,18241,5,3219.9,0.0,965.85,564.25
ID-2013-AM1070559-41535,OFF-AP-4501,23013,6,2487.81,0.17,-269.79,562.14
MO-2014-AB25586-41966,OFF-AP-4745,45616,4,2266.44,0.0,113.28,556.45
IN-2013-RP192707-41438,TEC-CO-3611,25026,9,3068.36,0.1,1124.9,555.77
IN-2014-BK1126011-41940,FUR-BO-4849,27962,9,3728.43,0.0,1192.86,553.31
IN-2014-JM1525027-41985,TEC-CO-3678,26669,6,1581.48,0.0,0.0,550.74
IN-2013-GP1474058-41419,TEC-PH-5356,29600,3,1916.73,0.0,498.33,548.4
CA-2015-AS10045140-42281,FUR-TA-5066,34336,3,171.29,0.2,-6.42,12.65
ES-2014-NZ1856545-41975,OFF-AP-4508,19195,5,2432.16,0.1,513.36,546.9
CA-2015-AS10045140-42007,OFF-BI-3308,32639,6,28.85,0.7,-21.16,5.35
ID-2014-SC20695102-41667,FUR-CH-5443,26731,7,2465.82,0.25,197.19,546.49
IN-2013-NC186257-41401,FUR-TA-3422,31278,2,1847.52,0.0,738.96,545.89
ES-2014-NF183858-41970,FUR-BO-4849,12035,7,2899.89,0.0,927.78,541.59
IN-2013-NZ185657-41606,FUR-CH-5774,29149,7,2891.7,0.1,96.39,541.57
IT-2013-PM1894045-41546,TEC-MA-5572,15896,9,2016.85,0.15,-0.05,540.77
ES-2014-MZ1733545-41885,OFF-AP-4503,18307,7,3155.54,0.1,34.94,539.94
CG-2014-HM498033-41846,TEC-PH-5268,46257,6,3856.14,0.0,1465.2,533.99
IN-2015-RW195407-42327,TEC-PH-3806,21142,6,3524.47,0.1,861.37,531.28
ES-2013-LH1715545-41444,TEC-PH-5840,10308,4,2167.3,0.15,790.42,531.09
MX-2013-FH1436582-41558,TEC-PH-5839,6776,6,2556.0,0.0,178.92,530.486
ES-2012-KM1666048-41129,TEC-CO-5999,16948,5,1469.25,0.0,308.4,527.87
ES-2012-PO1886545-41217,TEC-PH-3807,11611,8,4448.83,0.15,1517.71,527.85
US-2012-AS10045140-41116,OFF-PA-6512,35876,11,65.78,0.0,32.23,4.36
MX-2014-AB1006028-41755,FUR-BO-3891,1873,9,2472.66,0.0,914.76,523.466
IN-2014-DB130607-41999,OFF-AP-3575,29120,8,3739.18,0.1,747.82,522.79
IT-2014-VM2168591-41711,FUR-CH-5442,11743,11,2570.87,0.5,-2211.17,520.89
CA-2014-AS10045140-41727,OFF-ST-4516,32648,2,31.4,0.0,7.85,3.81
ES-2013-DM1352548-41369,TEC-PH-3149,17522,9,2875.77,0.5,-1783.08,516.63
ES-2013-NM18520120-41634,FUR-BO-5948,14721,4,1741.8,0.0,261.24,515.24
IN-2014-LC168857-41747,TEC-CO-6012,29629,5,1601.64,0.1,587.19,511.47
IN-2012-RO1978027-41052,OFF-AP-4738,25868,7,3670.8,0.0,367.08,510.72
CA-2015-AS10045140-42218,OFF-PA-6557,33131,7,36.29,0.2,12.7,1.99
ES-2014-EM1406548-41775,TEC-CO-4593,19559,5,1900.95,0.0,589.2,506.89
CA-2015-AS10045140-42007,OFF-BI-3185,32638,5,15.66,0.7,-12.53,1.56
IT-2012-ON1871545-40955,FUR-CH-5774,14070,11,4544.1,0.1,1868.13,506.27
IN-2014-VS2182027-41790,FUR-BO-3639,21306,4,1455.12,0.0,116.4,504.56
IN-2014-CM121157-41913,TEC-CO-4790,21668,6,1943.19,0.1,258.93,499.62
CA-2015-AB10060140-42315,FUR-TA-4622,39465,7,2036.86,0.0,366.63,524.76
CA-2014-AB10060140-41884,OFF-BI-4340,31650,4,4355.17,0.2,1415.43,82.67
ID-2014-JK153257-41984,TEC-CO-3709,24260,5,1695.87,0.1,-37.83,498.62
IT-2015-RP1927045-42081,TEC-CO-5998,13646,6,1505.98,0.15,-265.76,498.52
IN-2015-DW1354078-42357,TEC-PH-3806,23708,3,1954.17,0.0,312.66,498.38
CA-2015-AB10060140-42315,FUR-CH-4613,39466,2,449.57,0.2,-73.05,47.81
US-2014-AB10060140-41712,OFF-AP-4221,33661,2,160.32,0.0,44.89,13.75
CA-2015-AB10060140-42315,TEC-AC-5858,39467,3,108.96,0.0,32.69,11.57
MX-2015-GM1444037-42265,TEC-CO-3587,1779,7,1213.19,0.002,508.01,493.409
IN-2014-SV2081558-41968,TEC-CO-4577,23880,5,1590.6,0.0,572.55,493.2
IN-2014-MM1792027-41950,TEC-AC-3405,27094,9,2330.64,0.0,1025.46,492.79
IN-2015-JK1612059-42204,FUR-BO-5761,24424,8,3278.58,0.07,140.82,492.28
ID-2013-EM14200130-41502,TEC-PH-5268,22049,7,3741.52,0.17,946.63,491.91
CA-2015-AB10060140-42314,OFF-PA-6214,40796,10,67.8,0.0,31.19,7.97
IN-2013-PM1894059-41284,FUR-BO-5787,23815,10,3637.6,0.07,156.4,487.86
MX-2014-AT1043582-41667,OFF-AP-4736,8009,7,2455.88,0.0,785.82,487.476
ID-2013-AB1001527-41439,TEC-MA-6150,30267,8,1024.68,0.5,-286.92,487.32
CA-2015-AB10060140-42314,OFF-FA-6129,40795,3,167.94,0.0,82.29,6.61
CA-2014-AB10060140-41884,OFF-PA-6430,31647,2,24.56,0.0,11.54,6.53
MX-2013-PV1898518-41614,TEC-AC-5223,2283,14,2297.96,0.0,988.12,483.257
IT-2014-SB2029064-41887,TEC-CO-4590,17765,7,2671.41,0.0,534.24,483.04
SO-2015-SM10005116-42265,TEC-PH-5839,47783,6,3834.0,0.0,268.38,481.04
CA-2014-AB10060140-41884,OFF-PA-6430,31649,4,49.12,0.0,23.09,6.22
IN-2013-KH1633059-41489,OFF-AP-4960,23175,8,3501.74,0.17,210.86,479.96
IN-2015-MP181757-42347,TEC-PH-3149,27693,3,1725.46,0.1,747.61,479.94
IN-2013-LH1702027-41572,TEC-CO-3597,22134,5,1583.7,0.0,174.15,479.67
CA-2015-AB10060140-42132,TEC-AC-5109,36297,1,79.99,0.0,28.8,5.44
ID-2014-CR126257-41878,FUR-BO-5763,22488,7,2760.35,0.1,-214.73,475.34
IN-2012-NC1862511-41041,TEC-AC-3403,25678,12,3078.72,0.0,523.08,474.44
IT-2012-GM1468091-41215,OFF-AP-4745,15376,7,1983.14,0.5,-1784.9,473.27
ES-2015-RA1994545-42218,FUR-BO-3624,15162,3,1112.78,0.1,296.66,472.0
ES-2012-DB1306048-41171,TEC-CO-4789,18899,10,3616.5,0.0,36.0,471.92
US-2014-AB10060140-41712,FUR-FU-4762,33660,2,127.88,0.0,40.92,3.15
IN-2014-RF197357-41709,TEC-PH-5268,24160,5,2892.11,0.1,160.61,470.29
ES-2013-JH1582048-41306,TEC-PH-3806,15812,5,3263.4,0.0,848.4,469.29
US-2014-AB10060140-41712,OFF-BI-4819,33662,4,46.0,0.0,20.7,2.72
MX-2015-DM1295551-42103,FUR-TA-5064,6449,13,3117.09,0.2,38.95,466.703
CA-2014-AB10060140-41881,OFF-SU-2972,32472,3,27.93,0.0,8.1,2.16
MX-2015-BE1133582-42082,OFF-AP-4745,4394,5,1888.7,0.0,887.6,465.918
IN-2014-SO2033527-41914,OFF-AP-4502,22058,6,3000.78,0.0,1080.18,465.63
ES-2014-DK12835120-41651,OFF-AP-4507,19833,7,3801.63,0.0,1444.59,465.02
SA-2015-LC7050110-42236,TEC-PH-3806,45807,8,5211.12,0.0,1146.24,463.98
IN-2012-PB19210127-41259,FUR-TA-5065,30187,3,1356.03,0.0,311.85,458.97
IN-2015-CG125207-42077,OFF-AP-4745,29484,7,3569.64,0.1,674.16,458.54
CA-2013-AB10060140-41535,OFF-PA-6420,36347,2,18.54,0.0,8.71,1.69
ID-2015-HG1502559-42194,FUR-BO-5787,24015,8,2910.08,0.07,125.12,456.32
ID-2014-AD1018059-41801,FUR-CH-4532,20601,9,3126.4,0.27,-128.72,455.71
ES-2012-BP11155139-41130,TEC-PH-3805,12051,9,5276.99,0.1,1758.89,454.81
ID-2015-AA10480130-42080,TEC-PH-5840,25915,5,2645.38,0.17,-0.02,452.6
ID-2014-RL196157-41641,FUR-BO-3639,21639,5,1637.01,0.1,-36.39,452.28
CA-2014-AB10060140-41884,OFF-BI-2911,31648,1,3.05,0.2,1.07,1.67
ID-2013-SW2024559-41557,TEC-PH-5840,23229,5,2645.38,0.17,-0.02,451.03
CA-2014-AB10060140-41884,TEC-AC-5744,31646,1,6.79,0.0,2.31,1.31
IN-2012-BW1111027-41076,FUR-TA-3420,20674,5,3238.31,0.3,-740.3,449.18
ES-2015-YC21895139-42097,FUR-BO-3639,11331,7,2291.81,0.1,127.13,448.91
MX-2012-JM1558082-41045,TEC-PH-5355,58,5,2124.5,0.0,488.6,447.657
BO-2015-MZ733513-42046,FUR-CH-4654,45091,6,2757.78,0.0,744.48,446.33
ES-2014-JF15295120-41924,TEC-AC-4185,18990,6,1549.98,0.0,139.32,443.92
CA-2015-AB10060140-42264,OFF-PA-6596,34330,4,20.74,0.2,7.26,1.23
UP-2015-DJ3510137-42202,OFF-AP-4738,51130,6,3146.4,0.0,629.28,443.55
ES-2015-MF1825045-42330,TEC-MA-4205,14405,11,2456.62,0.15,664.72,442.49
IT-2012-TC2129545-41058,FUR-TA-4642,10745,7,2228.64,0.35,-754.41,440.25
CA-2015-AB10060140-42314,OFF-PA-3114,40794,1,4.41,0.0,2.03,1.21
IN-2015-CP1234058-42202,OFF-AP-4502,25850,8,4001.04,0.0,1440.24,439.65
ES-2015-EH1412545-42245,TEC-PH-3148,16109,9,4876.88,0.15,745.88,439.41
IN-2013-NC183407-41634,FUR-TA-5054,22515,6,1788.82,0.3,204.28,439.03
IN-2015-BF1100558-42319,OFF-AP-3577,29269,7,3622.29,0.0,1267.77,438.89
ID-2014-JS1603059-41760,FUR-TA-5072,29651,5,1242.59,0.47,-140.72,437.85
ES-2012-AM10360139-41136,TEC-PH-5354,10670,7,4453.05,0.0,1424.85,433.41
IN-2015-JF1519021-42341,FUR-TA-4706,24859,8,2673.36,0.0,1069.2,432.57
IN-2014-AB100157-41815,FUR-CH-4654,24466,5,2046.2,0.1,591.05,432.15
ES-2014-JG15160139-41660,FUR-TA-3344,15359,6,5451.3,0.0,2071.44,432.13
CA-2015-AH10075140-42301,FUR-TA-5421,39745,3,637.9,0.3,-127.58,188.95
IN-2015-AG1033059-42197,OFF-AP-3574,21670,4,1722.28,0.17,539.44,430.04
CA-2015-AH10075140-42301,FUR-FU-3936,39744,2,210.68,0.0,50.56,79.52
ES-2015-NF1847548-42248,OFF-AP-3581,17548,2,1007.42,0.1,134.3,428.83
CA-2015-AH10075140-42301,FUR-TA-4943,39742,4,240.74,0.3,-13.76,68.01
IN-2012-DR129407-41066,OFF-AP-4966,20861,9,4624.29,0.1,1644.03,427.46
ES-2012-NB1865548-41194,OFF-ST-6049,17907,6,1066.45,0.1,-11.93,427.24
IN-2014-NM1844527-41800,TEC-CO-5991,24361,4,957.6,0.0,0.0,427.1
IN-2015-TA213857-42351,OFF-AP-4508,29968,10,4864.32,0.1,162.12,426.09
CA-2014-AH10075140-41898,OFF-BI-4338,32221,2,841.57,0.2,294.55,57.49
ID-2015-SC20380102-42165,OFF-AP-3580,28875,3,1433.84,0.15,-84.37,424.81
SF-2012-PA9060117-40954,OFF-ST-6047,48781,14,2784.6,0.0,779.52,422.25
ES-2014-RB19570120-41971,FUR-BO-5760,15922,7,3063.27,0.0,1470.21,419.38
CA-2014-AH10075140-41817,OFF-SU-5635,39983,2,231.72,0.0,11.59,43.08
CA-2015-AH10075140-42110,FUR-FU-4756,33163,5,196.45,0.0,70.72,36.52
US-2012-LH1675036-41129,TEC-PH-5839,2641,6,2044.8,0.2,-332.28,417.99
CA-2014-AH10075140-41991,TEC-AC-6351,39711,3,165.6,0.2,-6.21,11.15
IN-2013-KB1658527-41488,TEC-CO-3608,26068,4,1521.0,0.0,0.0,416.74
ES-2013-LH1715545-41444,OFF-AP-4507,10306,5,2443.91,0.1,760.31,416.33
CA-2015-AH1007523-42101,OFF-ST-4257,41716,1,137.31,0.0,54.9,11.13
IR-2014-MZ751560-41853,TEC-MA-4210,44140,10,1141.8,0.0,570.9,415.01
IN-2015-DM1334558-42146,OFF-ST-4266,29226,9,1865.97,0.0,802.17,413.95
ID-2012-CA1196566-40949,TEC-PH-5841,27720,11,6998.64,0.0,2939.31,413.8
ES-2014-SC20305120-41909,FUR-BO-3903,11073,3,1091.25,0.0,119.97,411.64
IN-2015-MH1811558-42157,FUR-BO-4862,24030,3,1094.22,0.0,328.23,411.06
IN-2014-KS163007-41912,FUR-BO-3640,30202,4,1320.62,0.1,484.22,410.88
IN-2012-BG1174078-41108,TEC-PH-5356,27230,4,2555.64,0.0,664.44,410.22
RS-2015-CR2625108-42230,FUR-BO-5950,51284,8,3498.72,0.0,594.72,410.05
CA-2015-AH10075140-42301,FUR-FU-4022,39743,4,35.0,0.0,14.7,8.98
IN-2015-DK1309027-42308,TEC-CO-3611,28198,6,2272.86,0.0,977.22,406.53
IN-2014-JL1583527-41845,TEC-PH-3806,26028,8,5211.12,0.0,833.76,404.97
IN-2015-AP1072058-42284,TEC-PH-5269,26325,4,2582.16,0.0,361.44,404.08
IN-2015-CR1282058-42294,TEC-PH-5356,21924,5,3194.55,0.0,830.55,403.97
IN-2014-BF110807-41976,FUR-CH-4531,30113,4,1705.0,0.1,378.88,403.46
IN-2015-JM15265102-42316,OFF-AP-3571,30105,6,1538.72,0.15,325.7,403.26
IN-2014-NM1844527-41800,FUR-CH-5378,24363,3,1381.32,0.0,593.91,403.15
IT-2012-TW2102545-41172,FUR-BO-5760,19902,3,1181.55,0.1,498.81,401.25
IT-2012-RB1933045-41080,FUR-CH-4530,13998,4,1696.25,0.1,734.93,401.13
CA-2015-AH10075140-42273,OFF-SU-3839,38383,2,190.9,0.2,-42.95,8.72
CA-2015-AH10075140-42144,FUR-CH-5429,37340,3,314.35,0.2,-35.36,6.19
SF-2015-AB10060117-42334,OFF-AP-4732,47087,4,1237.56,0.0,606.36,400.03
EG-2013-JR567038-41363,TEC-PH-5355,49833,2,1274.7,0.0,140.16,399.96
MX-2012-MD1735028-41222,OFF-AP-4962,2080,9,3172.14,0.0,856.44,399.849
CA-2015-AH10075140-42301,OFF-PA-6415,39746,8,43.44,0.0,21.29,5.97
ES-2013-EB13840139-41487,OFF-AP-4743,10303,7,3979.29,0.0,1989.54,398.5
CA-2014-AH10075140-41991,OFF-PA-6577,39710,10,51.84,0.2,18.14,4.93
CA-2014-AH10075140-41817,OFF-FA-5459,39984,5,17.9,0.0,8.95,4.89
CA-2014-AH10075140-41817,OFF-PA-3115,39985,2,12.48,0.0,5.62,2.73
AJ-2014-JL58359-41662,FUR-TA-3358,41838,4,2058.0,0.0,946.68,393.62
IN-2012-EP1391559-41049,FUR-BO-5967,28110,7,2539.88,0.07,709.94,393.58
ES-2015-MS17770139-42275,FUR-BO-3626,12449,7,2898.21,0.0,1420.02,393.46
IT-2012-CM1265545-41218,TEC-MA-5007,17848,5,1320.01,0.15,357.16,390.2
LH-2015-JC610575-42032,FUR-TA-3345,46219,8,2171.16,0.7,-2750.28,390.09
IN-2015-GB145307-42260,TEC-CO-4593,26932,13,4448.22,0.1,444.48,386.38
CA-2015-AH10075140-42335,OFF-AR-5327,32866,3,12.84,0.0,3.72,1.88
US-2012-JH161805-41264,TEC-PH-3149,4817,9,2300.62,0.4,38.2,386.003
EG-2014-MT807038-41675,FUR-BO-5951,50593,6,2615.94,0.0,1072.44,384.41
IN-2012-AB1010558-41270,TEC-CO-6010,25445,3,1066.68,0.0,394.65,383.68
CA-2015-AH10075140-42301,OFF-AP-4739,39747,1,2.22,0.0,0.67,1.64
LT-2012-CV280572-41025,TEC-PH-5354,50000,4,2544.6,0.0,814.2,383.01
IN-2012-NH1861092-41187,FUR-TA-4645,30934,4,3694.68,0.0,886.68,382.77
ID-2014-HJ1487527-41875,FUR-TA-5065,21667,7,2214.85,0.3,-221.57,382.1
MX-2014-JL1517518-41903,FUR-CH-5776,8870,4,1236.48,0.0,111.28,381.219
MX-2015-MY1829593-42355,OFF-AP-4505,1899,5,1805.9,0.0,126.4,381.14
CA-2012-AH10075140-41228,OFF-LA-5591,36279,2,5.22,0.0,2.4,1.51
CA-2013-AH10075140-41629,OFF-AR-5458,39051,2,3.01,0.2,0.34,1.38
CA-2015-AH10075140-42273,OFF-BI-3301,38382,5,8.6,0.7,-6.3,1.37
MX-2015-KC1654093-42158,OFF-AP-4507,9857,5,1810.3,0.0,54.3,378.258
MX-2015-CS1246093-42259,TEC-PH-5354,2398,5,2120.5,0.0,106.0,377.704
IN-2015-HA1492027-42111,TEC-PH-3148,20610,2,1275.0,0.0,140.22,377.58
ES-2013-MT1781545-41599,TEC-MA-5017,19446,7,1593.65,0.15,-225.16,377.03
ES-2015-FW1439545-42069,FUR-BO-3627,11606,3,1114.24,0.1,383.71,376.88
ES-2013-BH1171048-41478,TEC-PH-3807,16161,5,2944.08,0.1,1112.13,376.58
ID-2015-DK1289559-42315,OFF-AP-4964,25761,7,3309.26,0.17,318.86,374.8
MX-2015-KD1627018-42330,FUR-CH-4544,6594,9,897.48,0.0,322.92,374.376
ES-2012-SC208458-41070,FUR-BO-4848,17380,5,2056.05,0.0,390.6,372.5
MX-2013-CY1274582-41531,TEC-CO-6010,3503,10,2365.66,0.002,18.86,372.318
IN-2012-HL150407-41237,TEC-CO-3596,23537,7,1336.36,0.4,44.44,371.74
IN-2013-CT1199566-41496,TEC-CO-4591,26037,8,3038.64,0.0,1245.84,371.51
ES-2014-CC12370139-41718,OFF-AP-3573,20266,9,2698.65,0.0,890.46,369.98
LT-2014-GR456072-42003,TEC-CO-3688,42956,12,3799.08,0.0,455.76,369.73
IN-2013-TT2107058-41551,FUR-CH-4656,21995,6,2756.34,0.0,413.28,369.4
IT-2013-PO19195120-41492,TEC-PH-3146,15570,8,983.88,0.1,-11.16,369.17
IN-2013-ED13885144-41549,FUR-CH-4530,25831,5,1719.81,0.27,117.66,368.44
IN-2015-AP1091559-42089,OFF-AP-4966,29383,3,1421.54,0.17,428.12,367.57
MX-2015-TM2149031-42329,TEC-CO-3597,879,5,1053.69,0.002,441.29,367.549
IT-2012-AW1084091-41242,TEC-CO-4792,16997,8,1440.84,0.5,-1268.04,367.35
IN-2012-DP131057-41215,FUR-CH-4530,21287,6,2544.37,0.1,621.79,366.89
CA-2015-AH10075140-42144,OFF-PA-6504,37341,7,27.89,0.2,10.11,1.26
RO-2013-SG10605107-41614,TEC-CO-4571,47029,8,1554.48,0.0,341.76,366.58
MX-2014-BM1178582-41976,TEC-PH-5839,8378,3,1278.0,0.0,89.46,365.902
MX-2013-FH1436582-41628,TEC-PH-3806,2496,8,3474.08,0.0,625.28,365.652
MX-2013-DK1337582-41530,TEC-PH-3148,990,6,2550.0,0.0,357.0,365.2
CA-2015-AS10090140-42264,OFF-BI-4343,34756,2,538.19,0.7,-412.62,209.3
CA-2012-AS10090140-41173,FUR-CH-5430,40955,4,579.53,0.1,83.71,64.56
CA-2013-AS10090140-41587,FUR-TA-3427,33285,7,1024.38,0.0,215.12,62.17
TU-2013-SF10200134-41417,TEC-PH-5815,43395,14,934.25,0.6,-1331.65,363.73
CA-2014-AS10090140-41812,FUR-BO-5529,36524,2,353.57,0.2,-44.2,48.18
SG-2015-JW5220111-42108,TEC-PH-3805,46991,6,3908.88,0.0,1563.48,363.16
MX-2015-CC1210082-42245,TEC-PH-5268,9711,5,2142.3,0.0,556.9,363.1
ID-2015-RD1993092-42140,OFF-AP-4961,31138,6,1900.58,0.4,-348.52,360.04
CM-2013-BP123022-41621,OFF-AP-4733,46655,6,1840.68,0.0,496.98,359.58
ES-2012-SA20830139-40998,FUR-BO-5950,10365,6,2624.04,0.0,446.04,359.28
IN-2013-EM1381058-41308,FUR-BO-5762,21500,7,3076.5,0.0,215.25,359.27
